character,alias
Monkey D. Luffy,Luffy
Monkey D. Luffy,Monkey D. Rufi
Monkey D. Luffy,Rufi
Monkey D. Luffy,Ruffy
Monkey D. Luffy,Monch D. Roof
Roronoa Zoro,Zoro
Roronoa Zoro,Roronoa Zolo
Roronoa Zoro,Zolo
Roronoa Zoro,Suron
Usopp,Usoppu
Usopp,Usop
Usopp,Liar Bo
Usopp,Crook Bo
Usopp,Swindle Bo
Sogeking,Soge King
Sogeking,Sniper King
Sanji,Sangi
Sanji,Sunkist
Tony Tony Chopper,Chopper
Nico Robin,Robin
Nico Robin,Lobin
Nico Robin,Cat Lowbun
Franky,Flanky
Cutty Flam,Cutty Fran
Cutty Flam,Kati Fram
Brook,Brooke
Jinbe,Jimbei
Jinbe,Jinbei
Jinbe,Jimbe
Nefertari Vivi,Vivi
Nefertari Vivi,Nefeltari Vivi
Nefertari Vivi,Nefertari Bibi
Nefertari Vivi,Vivi Nefertari
Nefertari Cobra,Cobra
Nefertari Cobra,Nefeltari Cobra
Nefertari Cobra,Nefeltari Nebra
Silvers Rayleigh,Rayleigh
Shakuyaku,Shakky
Portgas D. Ace,Ace
Portgas D. Ace,Portgaz D. Ace
Portgas D. Ace,Portgaz D. Trace
Monkey D. Garp,Garp
Monkey D. Dragon,Dragon
Koby,Coby
Koby,Cobby
Bell-mère,Belle-Mère
Bell-mère,Bellemere
Iceburg,Iceberg
Iceburg,Icebarg
Iceburg,Icebarge
Paulie,Pauly
Hatchan,Hachi
Camie,Keimi
Camie,Caymy
Pappag,Pappagu
Pappag,Pappug
Karoo,Carue
Karoo,Kalu
Karoo,Karu
Riku Doldo III,Riku
Trafalgar D. Water Law,Law
Trafalgar D. Water Law,Trafalgar Law
Hiriluk,Dr. Hiluluk
Hiriluk,Dr. Hiruluk
Kureha,Dr. Kureha
Boa Hancock,Hancock
Marguerite,Margaret
Emporio Ivankov,Ivankov
Emporio Ivankov,Emporio Ivancov
Emporio Ivankov,Emporio Iwankov
Bentham,Bon Clay
Bentham,Bon Kurei
Bentham,Von Creay
Jaguar D. Saul,Saul
Jaguar D. Saul,Hagawa D. Saulo
Jaguar D. Saul,Jaguar D. Saulo
Jaguar D. Saul,Hagwarl D. Saulo
Jaguar D. Saul,Hagwar D. Sauro
Mont Blanc Cricket,Cricket
Mont Blanc Cricket,Montblanc Cricket
Mont Blanc Cricket,Monbran Cricket
Mont Blanc Cricket,Mombran Cricket
Mont Blanc Noland,Noland
Mont Blanc Noland,Montblanc Noland
Mont Blanc Noland,Monbran Noland
Mont Blanc Noland,Mombran Noland
Mont Blanc Noland,Montblanc Norland
Wyper,Wyler
Wyper,Wiper
Wyper,Waipa
Kalgara,Calgara
Enel,Eneru
Enel,Ener
Sengoku,Zango
Tsuru,Crane
Smoker,Chaser
Fullbody,Finbudi
Jango,Django
Aokiji,Kuzan
Akainu,Sakazuki
Kizaru,Borsalino
Fujitora,Issho
Ryokugyu,Aramaki
Hannyabal,Hannibal
Hannyabal,Hannybal
Shiryu,Shilliew
Imu,Im
Sterry,Stelly
Rob Lucci,Lucci
Rob Lucci,Rob Rucchi
Kalifa,Califa
Jabra,Jyabura
Jabra,Jabura
Fukurou,Fukurô
Bartholomew Kuma,Kuma
Bartholomew Kuma,Bisoromi Bear
Dracule Mihawk,Mihawk
Dracule Mihawk,Juraquille Mihawk
Dracule Mihawk,Mihark
Gecko Moria,Moria
Gecko Moria,Gekko Moriah
Donquixote Doflamingo,Doflamingo
Donquixote Doflamingo,Don Quixote Doflamingo
Donquixote Doflamingo,Tanjiahdo Lofulamingo
Donquixote Doflamingo,Don Quichotte Doflamingo
Donquixote Doflamingo,Don Quichotte de Flamingo
Donquixote Rosinante,Rosinante
Donquixote Rosinante,Corazon
Donquixote Rosinante,Don Quixote Rocinante
Donquixote Rosinante,Donquixote Rocinante
Donquixote Rosinante,Don Quichotte Rocinante
Buggy,Parchy
Perona,Perhona
Edward Newgate,Newgate
Edward Newgate,Whitebeard
Edward Newgate,Shirohige
Edward Newgate,Edward Newcart
Edward Newgate,White Facial Hair
Jozu,Joz
Jozu,Jose
Jozu,Jaws
Squard,Squardo
Squard,Squad
Squard,Squado
Kaidou,Kaido
Charlotte Linlin,Linlin
Charlotte Linlin,Charlotte Rinrin
Charlotte Linlin,Charlotte Lingling
Charlotte Linlin,Big Mom
Charlotte Linlin,Big Mam
Charlotte Katakuri,Katakuri
Charlotte Katakuri,Charlotte Dogtooth
Charlotte Smoothie,Smoothie
Charlotte Cracker,Cracker
Charlotte Pudding,Pudding
Charlotte Pudding,Charlotte Purin
Charlotte Basskarte,Basskarte
Charlotte Basskarte,Charlotte Bassquarte
Lucky Roux,Lucky Roo
Marshall D. Teach,Teach
Marshall D. Teach,Blackbeard
Marshall D. Teach,Kurohige
Marshall D. Teach,Marshall D. Teech
Marshall D. Teach,Masuru D. Chocheh
Marshall D. Teach,Black Facial Hair
Jesus Burgess,Burgess
Jesus Burgess,G. Zass Burgess
Jesus Burgess,Xusasu Basasu
Van Augur,Augur
Van Augur,Cloud Ouga
Van Augur,Van Auger
Van Augur,Van Ogre
Doc Q,Doku Q
Laffitte,Lafitte
Laffitte,Raffit
Laffitte,Lafeita
Catarina Devon,Devon
Catarina Devon,Catalina Devon
Rocks D. Xebec,Rocks
Rocks D. Xebec,Xebec
Rocks D. Xebec,Rox
Hody Jones,Hody
Hody Jones,Hordy Jones
Hody Jones,Hodi Jones
Caesar Clown,Caesar
Caesar Clown,Caesar Crown
Monet,Mone
Trebol,Trevor
Giolla,Jora
Bellamy,Binami
Ohm,Aum
Ohm,Orm
Ohm,Ohmu
Ohm,Om
Sham,Siam
Buchi,Butchie
Porchemy,Polchemy
Porchemy,Polchemi
Enishida,Genista
Oars,Oz
Oars,Odr
Oars,Odz
Oars,Ohz
Ryuma,Ryuuma
Ryuma,Ryouma
Shyarly,Sharley
Shyarly,Shirley
Big Pan,Big Bun
Eustass Kid,Kid
Eustass Kid,Eustass Kidd
Capone Bege,Bege
Chew,Choo
Chew,Chuu
Going Merry,Merry Go
Aladine,Aladdin
Aremo Ganmi,Peekatha Krotch
Banchi,Bunchi
Chouchou,Shushu
Clou D. Clover,Clover
Clou D. Clover,Claiomh D. Clover
Corto,Colt
Gatherine,Gyatharin
Grabar,Grabba
Hasami,Scissors
Hasami,Pincers
Holy,Holly
Ikaros Much,Icaros Muhhi
Kumashi,Kumacy
Kumashi,Kuma-C
Matsuge,Eyelashes
Matsuge,Eyelash
Matsuge,Lashes
Ochoku,Wang Zhi
Stronger,Strongheart
Su,Suu
Tibany,Elizabeth
Shelly,Sherry
Koza,Kohza
